pl_name,star_id,hostname,pl_rade,pl_bmasse,pl_eqt,pl_eqt_computed,disc_year,discoverymethod,ra,dec,sy_dist,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_pnum
WASP-84 b,952,WASP-84,10.72,220.0,732.0,False,2014,Transit,131.1069959,1.8598933,100.588,8.52349648,0.0778,,0.768,0.853,,2
WASP-84 c,952,WASP-84,1.95,15.2,1329.0,False,2023,Transit,131.1069959,1.8598933,100.588,1.4468849,0.02359,,0.768,0.853,,2
WASP-85 A b,953,WASP-85 A,13.89916,402.05495,1452.0,False,2016,Transit,175.9080328,6.5637842,141.887,2.6556777,0.039,6112.0,0.935,1.09,,1
WASP-87 b,954,WASP-87,15.524465,692.8694,2114.195211663724,True,2016,Transit,185.3246821,-52.8408163,298.392,1.682795,0.02946,6450.0,1.627,1.204,,1
WASP-89 b,955,WASP-89,11.65736,1875.197,1120.0,False,2015,Transit,313.9000261,-18.9714084,290.946,3.3564227,0.0427,5130.0,0.88,0.92,0.15,1
WASP-90 b,956,WASP-90,18.27067,200.2329,1840.0,False,2016,Transit,315.5319489,7.0562793,466.433,3.916243,0.0562,6430.0,1.98,1.55,0.11,1
WASP-91 b,957,WASP-91,11.54527,425.8922,1160.0,False,2017,Transit,357.846434,-70.1528621,149.942,2.798581,0.037,4920.0,0.86,0.84,0.19,1
WASP-92 b,958,WASP-92,16.376349,255.85315,1871.0,False,2016,Transit,246.6920395,51.0411328,575.889,2.1746742,0.0348,6280.0,1.341,1.19,0.0,1
WASP-93 b,959,WASP-93,17.900773,467.2101,1942.0,False,2016,Transit,9.4587443,51.288778,370.284,2.7325321,0.04211,6700.0,1.524,1.334,0.07,1
WASP-96 b,960,WASP-96,13.45,152.55,1285.0,False,2014,Transit,1.0465696,-47.3606352,352.464,3.4252602,0.0453,5540.0,1.05,1.06,0.14,1
WASP-98 b,961,WASP-98,12.823096,293.03926,1171.0,False,2014,Transit,58.4290113,-34.3282716,281.742,2.96264036,0.03762,5473.0,0.741,0.809,-0.49,1
WD 1856+534 b,962,WD 1856+534,10.4,4386.054,163.0,False,2020,Transit,284.415675,53.5090244,24.7359,1.4079405,0.0204,4710.0,0.0131,0.518,,1
WISEP J121756.91+162640.2 A b,963,WISEP J121756.91+162640.2 A,10.468,6992.0,450.0,False,2012,Imaging,184.487125,16.4445,,,8.0,575.0,0.091,0.029,,1
WTS-1 b,964,WTS-1,16.7,1274.44,1500.0,False,2012,Transit,293.9850284,36.2962939,2346.01,3.352057,0.047,6250.0,1.15,1.2,-0.5,1
WTS-2 b,965,WTS-2,15.277867,355.9696,2000.0,False,2014,Transit,293.7327826,36.8154936,,1.0187068,0.01855,5000.0,0.752,0.82,0.2,1
Wendelstein-1 b,966,Wendelstein-1,11.5609626,188.15536,2198.0,False,2020,Transit,299.0506412,17.5699627,305.3,2.663416,0.0282,4251.0,0.61,0.65,,1
Wendelstein-2 b,967,Wendelstein-2,12.9934728,232.33373,2470.0,False,2020,Transit,297.7909214,16.9125679,565.541,1.7522239,0.0234,4591.0,0.66,0.73,,1
Wolf 327 b,968,Wolf 327,1.24,2.53,996.0,False,2024,Transit,148.3783199,35.570548,28.5321,0.5734745,0.01,3542.0,0.406,0.405,-0.17,1
Wolf 503 b,969,Wolf 503,2.043,6.26,790.0,False,2018,Transit,206.8461979,-6.1393369,44.526,6.00127,0.05706,4716.0,0.689,0.688,-0.47,1
XO-5 b,970,XO-5,12.78,378.2,1230.0,False,2008,Transit,116.7163868,39.0944695,276.211,4.1877558,0.0515,5430.0,1.13,1.04,0.05,1
XO-6 b,971,XO-6,23.20263,1398.452,1577.0,False,2016,Transit,94.7929552,73.8275672,235.479,3.7650007,0.0815,6720.0,1.93,1.47,-0.07,1
XO-7 b,972,XO-7,15.389957,225.34147,1743.0,False,2019,Transit,277.4780753,85.2333208,234.149,2.8641424,0.04421,6250.0,1.48,1.405,0.432,1
